Series Name,Series Code,Country Name,Country Code,2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
GDP per capita (current US$),NY.GDP.PCAP.CD,Afghanistan,AFG,509.220100485356,519.888912573073,493.756581366026,507.103391875763,508.808409485223
GDP per capita (current US$),NY.GDP.PCAP.CD,Albania,ALB,4124.05572595352,4531.02080555986,5284.38018438156,5355.84779459031,5215.27675237003
GDP per capita (current US$),NY.GDP.PCAP.CD,Algeria,DZA,3946.45242459305,4109.70344220826,4153.95623446741,3975.5089933335,3310.38653352368
GDP per capita (current US$),NY.GDP.PCAP.CD,American Samoa,ASM,12038.2496994923,11003.8297642807,11557.671156308,11534.5675441134,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Andorra,AND,37475.6350587526,38964.904478265,41791.9698372411,40897.3308728669,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Angola,AGO,3506.07312818832,4095.8100568707,3289.64399476678,2809.62608839129,1895.77086891313
GDP per capita (current US$),NY.GDP.PCAP.CD,Antigua and Barbuda,ATG,15198.7429664112,15383.5763979856,16673.4369025555,17113.3497705088,14449.9965204973
GDP per capita (current US$),NY.GDP.PCAP.CD,Argentina,ARG,12790.2424732447,14613.041824658,11633.4980086503,9912.28180859863,8441.9194391094
GDP per capita (current US$),NY.GDP.PCAP.CD,Armenia,ARM,3591.82805221639,3914.52785436696,4220.54032079145,4622.73818208855,4267.45211938157
GDP per capita (current US$),NY.GDP.PCAP.CD,Aruba,ABW,28452.1706146796,29350.8050189137,30253.2793580195,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Australia,AUS,49971.131456129,54027.9668184568,57354.9640455891,55057.2046960666,51812.1540373988
GDP per capita (current US$),NY.GDP.PCAP.CD,Austria,AUT,45276.8314351693,47309.3662735282,51453.1470238016,50121.5542131186,48105.3646248411
GDP per capita (current US$),NY.GDP.PCAP.CD,Azerbaijan,AZE,3880.73873089556,4147.08971569171,4739.84171028393,4805.75371765917,4214.3113363475
GDP per capita (current US$),NY.GDP.PCAP.CD,"Bahamas, The",BHS,31563.3078695925,32719.6665872078,33767.9411879108,34863.3840497476,28607.9013752136
GDP per capita (current US$),NY.GDP.PCAP.CD,Bahrain,BHR,22608.4525623673,23742.9373424159,23991.0413905597,23443.4348283266,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bangladesh,BGD,1401.56463513179,1563.76781861826,1698.13208078712,1855.6915096678,1968.79222484581
GDP per capita (current US$),NY.GDP.PCAP.CD,Barbados,BRB,16900.0482858522,17391.6689084614,17745.2553725928,18148.4978451054,15191.1640353411
GDP per capita (current US$),NY.GDP.PCAP.CD,Belarus,BLR,5022.62664330491,5761.74712023007,6330.0752464187,6839.10383292452,6411.2278131981
GDP per capita (current US$),NY.GDP.PCAP.CD,Belgium,BEL,41984.1030335609,44089.3100875118,47554.7463078937,46414.4352334354,44594.3781075628
GDP per capita (current US$),NY.GDP.PCAP.CD,Belize,BLZ,4856.97324853112,4945.85769867226,5001.42215663433,5078.80994441772,4435.62115419432
GDP per capita (current US$),NY.GDP.PCAP.CD,Benin,BEN,1087.28730384853,1136.59397046254,1240.83096186066,1219.51547853535,1291.04096203645
GDP per capita (current US$),NY.GDP.PCAP.CD,Bermuda,BMU,106885.878489327,111820.581466347,113023.185594268,117098.446325474,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Bhutan,BTN,2930.5749227006,3286.59674376682,3243.47743748718,3316.16702210577,3122.37606234724
GDP per capita (current US$),NY.GDP.PCAP.CD,Bolivia,BOL,3076.65643933721,3351.12434432642,3548.59078021899,3552.06814383653,3143.04549424189
GDP per capita (current US$),NY.GDP.PCAP.CD,Bosnia and Herzegovina,BIH,4994.68904038619,5394.57995305594,6072.18462285304,6120.11262579357,6031.55686867658
GDP per capita (current US$),NY.GDP.PCAP.CD,Botswana,BWA,7243.93397430839,7893.41867148033,8279.81845660293,7970.79696800641,6710.990411266
GDP per capita (current US$),NY.GDP.PCAP.CD,Brazil,BRA,8710.09677403838,9928.6430632111,9151.44525254365,8897.48777044292,6796.84454227877
GDP per capita (current US$),NY.GDP.PCAP.CD,British Virgin Islands,VGB,..,..,..,..,..
GDP per capita (current US$),NY.GDP.PCAP.CD,Brunei Darussalam,BRN,27158.4056535724,28571.608291419,31628.4762566009,31085.9618860822,27466.3396414199
